symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
XRP-7NOV25-2.7-C-USDT,2.4343,0.06383178,0.0,0.0,0.28509481,0.87217898,0.00162644,-0.00467719,0.8128,2025-10-24 07:50:09.961621
XRP-7NOV25-2-P-USDT,2.4346,0.02677582,280.0,280.0,-0.11663098,0.45164941,0.0009392,-0.00301106,0.9062,2025-10-24 07:50:10.298081
XRP-7NOV25-2-C-USDT,2.4346,0.46137582,0.0,0.0,0.88336903,0.45164941,0.0009392,-0.00301106,0.9062,2025-10-24 07:50:10.678161
XRP-7NOV25-2.5-C-USDT,2.4346,0.12570445,680.0,680.0,0.46518575,1.02732433,0.00190385,-0.00543962,0.8076,2025-10-24 07:50:11.010729
XRP-7NOV25-2.7-P-USDT,2.4344,0.32945703,0.0,0.0,-0.71482408,0.87228297,0.00162672,-0.00467791,0.8128,2025-10-24 07:50:11.338974
XRP-7NOV25-2.2-P-USDT,2.4344,0.06406171,0.0,0.0,-0.24473141,0.77489892,0.00150495,-0.00450694,0.8465,2025-10-24 07:50:11.670520
XRP-7NOV25-1.6-P-USDT,2.4344,0.00406009,0.0,0.0,-0.01966995,0.09126163,0.00022868,-0.00088356,1.0921,2025-10-24 07:50:12.004027
XRP-7NOV25-2.6-P-USDT,2.4344,0.25565115,0.0,0.0,-0.63107593,0.97511712,0.00180688,-0.00516278,0.8076,2025-10-24 07:50:12.336661
XRP-7NOV25-3.2-P-USDT,2.4344,0.77749907,0.0,0.0,-0.931695,0.31179505,0.00063113,-0.00196989,0.8822,2025-10-24 07:50:12.692254
XRP-7NOV25-1.8-P-USDT,2.4344,0.01057262,0.0,0.0,-0.04960853,0.21633266,0.00049095,-0.001718,0.9891,2025-10-24 07:50:13.028793
XRP-7NOV25-2.3-P-USDT,2.4343,0.09549162,0.0,0.0,-0.33350522,0.91857914,0.00174196,-0.00509425,0.8266,2025-10-24 07:50:13.658987
XRP-7NOV25-3.2-C-USDT,2.4343,0.01189429,580.0,580.0,0.06828191,0.31171498,0.00063094,-0.00196937,0.8823,2025-10-24 07:50:13.988752
XRP-24OCT25-2.475-P-USDT,2.4307,0.04685476,0.0,0.0,-0.86542493,0.72558796,0.00010007,-0.00426276,0.852,2025-10-24 07:50:14.338266
XRP-24OCT25-2-P-USDT,2.4307,1e-08,1170.0,1050.0,-2e-08,1.1e-07,1e-08,-1e-08,1.8449,2025-10-24 07:50:14.664275
XRP-24OCT25-2.575-P-USDT,2.4307,0.14433243,30.0,30.0,-0.99774984,0.01890951,3.26e-06,-0.00017346,1.0647,2025-10-24 07:50:14.996331
XRP-24OCT25-2.425-P-USDT,2.4307,0.01297989,50.0,50.0,-0.43910191,1.32169029,0.00018211,-0.00775031,0.8512,2025-10-24 07:50:15.321459
XRP-24OCT25-2.35-P-USDT,2.4307,0.00035903,7340.0,3250.0,-0.02309088,0.17426267,2.525e-05,-0.00113007,0.8952,2025-10-24 07:50:15.654553
XRP-24OCT25-2.475-C-USDT,2.4307,0.0026423,10910.0,10260.0,0.13405301,0.72347381,9.98e-05,-0.00425171,0.8522,2025-10-24 07:50:15.984930
XRP-24OCT25-2.3-P-USDT,2.4307,2.686e-05,22660.0,22330.0,-0.00196112,0.01756127,2.88e-06,-0.00014553,1.0119,2025-10-24 07:50:16.313706
XRP-24OCT25-3-P-USDT,2.4307,0.56930001,0.0,0.0,-0.99999999,8e-08,1e-08,-1e-08,1.9634,2025-10-24 07:50:16.639880
XRP-24OCT25-2.575-C-USDT,2.4307,3.24e-05,11220.0,10480.0,0.0022484,0.01889436,3.26e-06,-0.00017332,1.0647,2025-10-24 07:50:17.295320
XRP-24OCT25-2.625-P-USDT,2.4307,0.19430448,0.0,0.0,-0.99967831,0.00284834,5.5e-07,-3.222e-05,1.1823,2025-10-24 07:50:17.619900
XRP-24OCT25-2.15-C-USDT,2.4307,0.28070004,0.0,0.0,0.99999748,2.415e-05,1e-08,-4e-07,1.4197,2025-10-24 07:50:17.946049
XRP-24OCT25-2.2-C-USDT,2.4307,0.23070026,60.0,10.0,0.99998037,0.0001895,4e-08,-2.52e-06,1.2804,2025-10-24 07:50:18.279859
XRP-24OCT25-2.65-P-USDT,2.4307,0.21930179,0.0,0.0,-0.99987082,0.00115777,2.4e-07,-1.442e-05,1.2405,2025-10-24 07:50:18.607876
XRP-24OCT25-2.2-P-USDT,2.4307,2.6e-07,4140.0,200.0,-1.962e-05,0.00018935,4e-08,-2.52e-06,1.2804,2025-10-24 07:50:18.934819
XRP-24OCT25-2.1-P-USDT,2.4307,1e-08,3100.0,90.0,-3.8e-07,3.52e-06,0.0,-7e-08,1.5604,2025-10-24 07:50:19.264897
XRP-24OCT25-2.8-P-USDT,2.4307,0.36930002,20.0,0.0,-0.99999884,1.038e-05,1e-08,-2.1e-07,1.5715,2025-10-24 07:50:19.607843
XRP-24OCT25-2-C-USDT,2.4307,0.43070001,0.0,0.0,0.99999999,1.1e-07,1e-08,-1e-08,1.8449,2025-10-24 07:50:19.934240
XRP-24OCT25-2.4-P-USDT,2.4307,0.00437179,6070.0,7480.0,-0.20450645,0.98932408,0.00013101,-0.00535888,0.8181,2025-10-24 07:50:20.321621
XRP-24OCT25-2.7-P-USDT,2.4307,0.26930033,0.0,0.0,-0.99997659,0.00021172,5e-08,-3.15e-06,1.3545,2025-10-24 07:50:20.947382
XRP-24OCT25-2.525-P-USDT,2.4307,0.09458148,70.0,0.0,-0.98216406,0.13192348,2.029e-05,-0.00096311,0.9498,2025-10-24 07:50:21.299985
XRP-24OCT25-2.5-P-USDT,2.4307,0.07016779,0.0,0.0,-0.94960801,0.32996117,4.792e-05,-0.00214943,0.8972,2025-10-24 07:50:21.625606
XRP-24OCT25-2.375-C-USDT,2.4307,0.05700838,210.0,100.0,0.92581513,0.47157123,6.482e-05,-0.00275183,0.8492,2025-10-24 07:50:21.957148
XRP-24OCT25-2.5-C-USDT,2.4304,0.00086779,48600.0,6970.0,0.05039199,0.32996117,4.792e-05,-0.00214943,0.8972,2025-10-24 07:50:22.293317
XRP-24OCT25-2.375-P-USDT,2.4304,0.00132774,1770.0,660.0,-0.07515414,0.47654493,6.545e-05,-0.00277736,0.8487,2025-10-24 07:50:22.677534
XRP-24OCT25-2.45-C-USDT,2.4304,0.00734375,3060.0,5080.0,0.30587862,1.21932499,0.00016191,-0.00664261,0.8206,2025-10-24 07:50:23.003915
XRP-24OCT25-2.7-C-USDT,2.4301,3.2e-07,3040.0,1210.0,2.314e-05,0.00020921,5e-08,-3.11e-06,1.3553,2025-10-24 07:50:23.366846
XRP-24OCT25-2.8-C-USDT,2.4301,2e-08,200.0,0.0,1.14e-06,1.015e-05,1e-08,-2.1e-07,1.573,2025-10-24 07:50:23.693154
XRP-24OCT25-2.45-P-USDT,2.4301,0.02715697,140.0,50.0,-0.69682968,1.21413377,0.00016125,-0.00661784,0.8209,2025-10-24 07:50:24.028772
XRP-24OCT25-2.625-C-USDT,2.4298,4.31e-06,1550.0,1050.0,0.00030935,0.00274117,5.3e-07,-3.111e-05,1.1846,2025-10-24 07:50:24.657278
XRP-24OCT25-2.3-C-USDT,2.4298,0.12982794,50.0,380.0,0.99796078,0.01823185,2.98e-06,-0.00015037,1.0099,2025-10-24 07:50:24.984759
XRP-24OCT25-3-C-USDT,2.4297,1e-08,550.0,550.0,1e-08,8e-08,0.0,-1e-08,1.9655,2025-10-24 07:50:25.365106
XRP-24OCT25-2.525-C-USDT,2.4297,0.00026838,14100.0,13660.0,0.01706491,0.12674277,1.952e-05,-0.0009292,0.9522,2025-10-24 07:50:25.703221
XRP-24OCT25-2.35-C-USDT,2.4297,0.08007681,540.0,610.0,0.9758378,0.1814139,2.621e-05,-0.00117055,0.8933,2025-10-24 07:50:26.031656
XRP-24OCT25-2.25-C-USDT,2.4297,0.17970247,100.0,0.0,0.99981233,0.00178569,3.3e-07,-1.88e-05,1.141,2025-10-24 07:50:26.376786
XRP-24OCT25-2.4-C-USDT,2.4297,0.03426711,4910.0,2070.0,0.78816925,1.01107641,0.00013367,-0.00546259,0.8174,2025-10-24 07:50:26.704638
XRP-24OCT25-2.65-C-USDT,2.4297,1.72e-06,0.0,0.0,0.00012378,0.00110998,2.3e-07,-1.387e-05,1.2431,2025-10-24 07:50:27.031419
XRP-24OCT25-2.425-C-USDT,2.4295,0.01800516,2520.0,2710.0,0.5488577,1.32715739,0.00018268,-0.00777468,0.8512,2025-10-24 07:50:27.711096
XRP-24OCT25-2.1-C-USDT,2.4295,0.32950001,10.0,0.0,0.99999962,3.63e-06,0.0,-8e-08,1.5576,2025-10-24 07:50:28.042351
XRP-24OCT25-2.9-P-USDT,2.429,0.47100001,0.0,0.0,-0.99999992,7.3e-07,0.0,-2e-08,1.778,2025-10-24 07:50:28.675322
XRP-24OCT25-2.25-P-USDT,2.429,2.54e-06,56000.0,750.0,-0.0001932,0.00183779,3.4e-07,-1.928e-05,1.1393,2025-10-24 07:50:29.042786
XRP-24OCT25-2.15-P-USDT,2.4289,4e-08,4200.0,0.0,-2.66e-06,2.545e-05,1e-08,-4.2e-07,1.4157,2025-10-24 07:50:29.371810
