instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
ETH-27MAR26-3400-P,3400.0,1774598400000,put,4017.98,0.0991,69.7,0.098,0.1,1626.0,0.0,"{'delta': -0.27576, 'gamma': 0.00018, 'vega': 8.70487, 'theta': -1.97689, 'rho': -6.33153}",2025-10-25T00:01:08.725971
ETH-27MAR26-3500-C,3500.0,1774598400000,call,4017.98,0.239,69.58,0.2375,0.2405,2541.0,0.0,"{'delta': 0.70246, 'gamma': 0.00019, 'vega': 9.02453, 'theta': -2.04595, 'rho': 7.82861}",2025-10-25T00:01:08.988496
ETH-27MAR26-3500-P,3500.0,1774598400000,put,4017.98,0.1101,69.58,0.109,0.1115,12413.0,392.0,"{'delta': -0.29754, 'gamma': 0.00019, 'vega': 9.02453, 'theta': -2.04595, 'rho': -6.88651}",2025-10-25T00:01:09.248954
ETH-27MAR26-3600-C,3600.0,1774598400000,call,4017.98,0.2256,69.38,0.224,0.2265,1298.0,0.0,"{'delta': 0.6805, 'gamma': 0.0002, 'vega': 9.31065, 'theta': -2.10486, 'rho': 7.68378}",2025-10-25T00:01:09.514540
ETH-27MAR26-3600-P,3600.0,1774598400000,put,4018.02,0.1216,69.38,0.1205,0.123,1685.0,0.0,"{'delta': -0.31949, 'gamma': 0.0002, 'vega': 9.31065, 'theta': -2.10486, 'rho': -7.45164}",2025-10-25T00:01:09.773564
ETH-27MAR26-3800-C,3800.0,1774598400000,call,4018.02,0.201,69.14,0.199,0.202,1083.0,0.0,"{'delta': 0.6363, 'gamma': 0.00021, 'vega': 9.781, 'theta': -2.20332, 'rho': 7.35381}",2025-10-25T00:01:10.030384
ETH-27MAR26-3800-P,3800.0,1774598400000,put,4018.02,0.1467,69.14,0.1455,0.1485,1771.0,125.0,"{'delta': -0.3637, 'gamma': 0.00021, 'vega': 9.781, 'theta': -2.20332, 'rho': -8.62261}",2025-10-25T00:01:10.294433
ETH-27MAR26-4000-C,4000.0,1774598400000,call,4018.07,0.1787,68.95,0.1775,0.18,3211.0,0.0,"{'delta': 0.59236, 'gamma': 0.00022, 'vega': 10.11402, 'theta': -2.27218, 'rho': 6.98732}",2025-10-25T00:01:10.556061
ETH-27MAR26-4000-P,4000.0,1774598400000,put,4018.07,0.1743,68.95,0.1735,0.176,8020.0,65.0,"{'delta': -0.40764, 'gamma': 0.00022, 'vega': 10.11402, 'theta': -2.27218, 'rho': -9.82995}",2025-10-25T00:01:10.817304
ETH-27MAR26-4200-C,4200.0,1774598400000,call,4018.07,0.1589,68.88,0.158,0.16,174.0,2.0,"{'delta': 0.5494, 'gamma': 0.00022, 'vega': 10.31403, 'theta': -2.3147, 'rho': 6.59624}",2025-10-25T00:01:11.079093
ETH-27MAR26-4200-P,4200.0,1774598400000,put,4018.07,0.2042,68.88,0.203,0.206,1142.0,18.0,"{'delta': -0.4506, 'gamma': 0.00022, 'vega': 10.31403, 'theta': -2.3147, 'rho': -11.0619}",2025-10-25T00:01:11.331169
ETH-27MAR26-4400-C,4400.0,1774598400000,call,4018.07,0.1413,68.88,0.1405,0.142,3546.0,127.0,"{'delta': 0.50798, 'gamma': 0.00022, 'vega': 10.39175, 'theta': -2.33216, 'rho': 6.19398}",2025-10-25T00:01:11.589599
ETH-27MAR26-4400-P,4400.0,1774598400000,put,4018.07,0.2364,68.88,0.235,0.238,3189.0,18.0,"{'delta': -0.49202, 'gamma': 0.00022, 'vega': 10.39175, 'theta': -2.33216, 'rho': -12.30503}",2025-10-25T00:01:11.841625
ETH-27MAR26-4500-C,4500.0,1774598400000,call,4018.07,0.1332,68.87,0.1325,0.134,4107.0,0.0,"{'delta': 0.48788, 'gamma': 0.00022, 'vega': 10.38903, 'theta': -2.33126, 'rho': 5.99181}",2025-10-25T00:01:12.097754
ETH-27MAR26-4500-P,4500.0,1774598400000,put,4018.07,0.2532,68.87,0.252,0.255,2598.0,0.0,"{'delta': -0.51212, 'gamma': 0.00022, 'vega': 10.38903, 'theta': -2.33126, 'rho': -12.92762}",2025-10-25T00:01:12.353598
ETH-27MAR26-4600-C,4600.0,1774598400000,call,4018.09,0.1256,68.91,0.125,0.1265,2354.0,0.0,"{'delta': 0.46841, 'gamma': 0.00022, 'vega': 10.36128, 'theta': -2.3265, 'rho': 5.79054}",2025-10-25T00:01:12.610988
ETH-27MAR26-4600-P,4600.0,1774598400000,put,4018.1,0.2705,68.91,0.269,0.272,342.0,0.0,"{'delta': -0.53158, 'gamma': 0.00022, 'vega': 10.36131, 'theta': -2.32651, 'rho': -13.54929}",2025-10-25T00:01:12.868779
ETH-27MAR26-4800-C,4800.0,1774598400000,call,4018.1,0.1117,68.99,0.111,0.1125,2376.0,100.0,"{'delta': 0.43099, 'gamma': 0.00022, 'vega': 10.23801, 'theta': -2.30121, 'rho': 5.39326}",2025-10-25T00:01:13.133049
ETH-27MAR26-4800-P,4800.0,1774598400000,put,4018.1,0.3063,68.99,0.305,0.308,108.0,1.0,"{'delta': -0.56901, 'gamma': 0.00022, 'vega': 10.23801, 'theta': -2.30121, 'rho': -14.78747}",2025-10-25T00:01:13.394180
ETH-27MAR26-5000-C,5000.0,1774598400000,call,4018.11,0.0995,69.11,0.099,0.1,5086.0,35.0,"{'delta': 0.39596, 'gamma': 0.00021, 'vega': 10.03842, 'theta': -2.26041, 'rho': 5.00843}",2025-10-25T00:01:13.648808
ETH-27MAR26-5000-P,5000.0,1774598400000,put,4018.11,0.3439,69.11,0.3395,0.347,985.0,2.0,"{'delta': -0.60404, 'gamma': 0.00021, 'vega': 10.03843, 'theta': -2.26041, 'rho': -16.01316}",2025-10-25T00:01:13.898325
ETH-27MAR26-5200-C,5200.0,1774598400000,call,4018.11,0.0887,69.27,0.088,0.089,2577.0,0.0,"{'delta': 0.36334, 'gamma': 0.00021, 'vega': 9.77796, 'theta': -2.20674, 'rho': 4.6401}",2025-10-25T00:01:14.157232
ETH-27MAR26-5200-P,5200.0,1774598400000,put,4018.11,0.3828,69.27,0.3155,0.4755,283.0,0.0,"{'delta': -0.63666, 'gamma': 0.00021, 'vega': 9.77796, 'theta': -2.20674, 'rho': -17.22236}",2025-10-25T00:01:14.413075
ETH-27MAR26-5400-C,5400.0,1774598400000,call,4018.1,0.0792,69.46,0.0785,0.0795,1243.0,0.0,"{'delta': 0.33318, 'gamma': 0.0002, 'vega': 9.47143, 'theta': -2.14349, 'rho': 4.29141}",2025-10-25T00:01:14.666401
ETH-27MAR26-5400-P,5400.0,1774598400000,put,4018.11,0.4231,69.46,0.3545,0.517,81.0,0.0,"{'delta': -0.66681, 'gamma': 0.0002, 'vega': 9.47148, 'theta': -2.1435, 'rho': -18.41188}",2025-10-25T00:01:14.933431
ETH-27MAR26-5500-C,5500.0,1774598400000,call,4018.1,0.0748,69.56,0.074,0.0755,49618.0,0.0,"{'delta': 0.31899, 'gamma': 0.0002, 'vega': 9.30477, 'theta': -2.10889, 'rho': 4.12483}",2025-10-25T00:01:15.189094
ETH-27MAR26-5500-P,5500.0,1774598400000,put,4018.1,0.4436,69.56,0.374,0.538,5.0,0.0,"{'delta': -0.68101, 'gamma': 0.0002, 'vega': 9.30477, 'theta': -2.10889, 'rho': -18.99893}",2025-10-25T00:01:15.447225
ETH-27MAR26-5600-C,5600.0,1774598400000,call,4018.1,0.0707,69.65,0.07,0.071,1371.0,1.0,"{'delta': 0.30529, 'gamma': 0.00019, 'vega': 9.12994, 'theta': -2.07191, 'rho': 3.9628}",2025-10-25T00:01:15.707086
