symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-28NOV25-129000-C-USDT,112099.72,1107.62446753,60.18,1.35,0.1545159,1.635e-05,82.59099529,-49.36224823,0.4189,2025-10-24 10:05:06.085902
BTC-28NOV25-116000-C-USDT,112099.7,4088.7211047,16.99,7.05,0.41978236,2.718e-05,135.74957804,-80.21151158,0.4141,2025-10-24 10:05:06.419506
BTC-28NOV25-104000-C-USDT,112099.7,10841.47761414,0.2,0.0,0.73010382,2.14e-05,114.8173439,-72.87583896,0.4448,2025-10-24 10:05:06.753681
BTC-28NOV25-102000-P-USDT,112098.33,2245.24320212,37.25,12.57,-0.22891048,1.924e-05,105.18115466,-68.03292091,0.4533,2025-10-24 10:05:07.458064
BTC-28NOV25-146000-C-USDT,112098.33,214.70629659,30.42,0.08,0.0358811,4.99e-06,27.38976338,-17.81351116,0.4558,2025-10-24 10:05:07.788814
BTC-28NOV25-129000-P-USDT,112098.33,18009.11186401,1.52,0.0,-0.84550429,1.635e-05,82.58281185,-49.35786504,0.4189,2025-10-24 10:05:08.119523
BTC-28NOV25-144000-P-USDT,112098.43,32158.50677713,0.02,0.0,-0.95761982,5.77e-06,31.36544192,-20.17186648,0.4507,2025-10-24 10:05:08.451344
BTC-28NOV25-138000-C-USDT,112098.43,450.73407021,20.86,0.0,0.07071865,8.94e-06,47.00092993,-29.25836388,0.4363,2025-10-24 10:05:09.085443
BTC-28NOV25-96000-C-USDT,112098.51,17307.17643517,0.04,0.0,0.86646324,1.284e-05,74.84622441,-51.63934769,0.4835,2025-10-24 10:05:09.417638
BTC-28NOV25-112000-C-USDT,112098.51,5865.46745347,19.72,10.79,0.52864071,2.727e-05,138.20144248,-82.87745165,0.4203,2025-10-24 10:05:09.749480
BTC-28NOV25-115000-C-USDT,112098.51,4487.33170947,6.81,1.43,0.44657881,2.742e-05,137.31454483,-81.3633033,0.4153,2025-10-24 10:05:10.080076
BTC-28NOV25-144000-C-USDT,112098.31,256.93284438,34.07,1.0,0.04237963,5.77e-06,31.36506566,-20.17166094,0.4507,2025-10-24 10:05:10.442841
BTC-28NOV25-125000-P-USDT,112098.31,14571.6741172,9.08,0.0,-0.7838094,2.039e-05,101.80736663,-60.14808764,0.4141,2025-10-24 10:05:10.793409
BTC-28NOV25-132000-P-USDT,112098.43,20717.58302416,1.62,1.89,-0.88078528,1.353e-05,69.15600315,-41.82462503,0.4239,2025-10-24 10:05:11.474420
BTC-28NOV25-110000-C-USDT,112098.43,6939.29279239,15.29,2.89,0.58290732,2.644e-05,135.55559131,-82.22408526,0.4251,2025-10-24 10:05:11.801038
BTC-28NOV25-94000-C-USDT,112098.43,19077.64303077,0.1,0.0,0.88969322,1.096e-05,65.43811673,-46.21973269,0.495,2025-10-24 10:05:12.143226
BTC-28NOV25-127000-C-USDT,112098.33,1359.7596921,134.85,2.11,0.18310429,1.836e-05,92.11584417,-54.70023022,0.4162,2025-10-24 10:05:12.470519
BTC-28NOV25-113000-P-USDT,112098.33,6277.16221379,27.97,0.94,-0.49880805,2.746e-05,138.55775444,-82.70964851,0.4184,2025-10-24 10:05:13.164615
BTC-28NOV25-125000-C-USDT,112098.44,1670.00718602,65.55,8.8,0.21619294,2.039e-05,101.80806967,-60.14852054,0.4141,2025-10-24 10:05:13.846566
BTC-28NOV25-152000-P-USDT,112098.44,40029.8524695,0.0,0.0,-0.97788216,3.22e-06,18.31135345,-12.31794788,0.4714,2025-10-24 10:05:14.200916
BTC-28NOV25-88000-P-USDT,112099.7,518.01449199,64.07,1.72,-0.06075795,6.5e-06,41.78206258,-31.77654452,0.533,2025-10-24 10:05:14.541823
BTC-28NOV25-118000-P-USDT,112099.7,9277.25804487,5.97,0.78,-0.63211733,2.631e-05,130.89059344,-77.04704554,0.4125,2025-10-24 10:05:14.871130
BTC-28NOV25-152000-C-USDT,112099.7,128.30956227,22.08,0.0,0.02212049,3.22e-06,18.313399,-12.31917621,0.4714,2025-10-24 10:05:15.203710
