symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
ETH-26OCT25-3675-P-USDT,3959.31345825,6.5792053,17.6,35.5,-0.071045,0.00066386,0.39157028,-7.17632736,0.7096,2025-10-24 12:32:37.725446
ETH-26OCT25-4400-C-USDT,3959.31345825,0.59426073,794.2,818.4,0.00999714,0.00014979,0.07682704,-1.22434269,0.617,2025-10-24 12:32:38.091792
ETH-26OCT25-3725-C-USDT,3959.37813584,244.22001183,0.0,0.0,0.89648125,0.00092153,0.51892344,-9.07912211,0.6774,2025-10-24 12:32:38.439514
ETH-26OCT25-3750-P-USDT,3959.37813584,12.06554265,18.9,30.6,-0.12476883,0.00107744,0.59277926,-10.13308533,0.6618,2025-10-24 12:32:38.796226
ETH-28NOV25-4000-P-USDT,3977.75,345.29535713,986.5,13.9,-0.46866322,0.00047542,4.89432743,-4.76168946,0.6798,2025-10-24 12:32:39.455934
ETH-28NOV25-2500-P-USDT,3977.75,15.12206933,3155.2,129.8,-0.03237708,6.714e-05,0.89185923,-1.11972387,0.8773,2025-10-24 12:32:39.826997
ETH-28NOV25-3200-C-USDT,3977.79,854.68178627,20.5,0.0,0.85425186,0.00024816,2.814598,-3.01686849,0.749,2025-10-24 12:32:40.178946
ETH-28NOV25-3500-P-USDT,3977.79,142.97846586,601.2,67.0,-0.24500845,0.00035819,3.86875813,-3.94885906,0.7132,2025-10-24 12:32:40.879276
ETH-28NOV25-3600-P-USDT,3977.87,173.36253495,835.1,21.9,-0.28531338,0.00039213,4.1802066,-4.21127575,0.704,2025-10-24 12:32:41.233742
ETH-28NOV25-5000-P-USDT,3977.87,1090.31746781,52.1,0.0,-0.83356206,0.00029492,3.07209404,-3.02411023,0.6878,2025-10-24 12:32:41.582136
ETH-28NOV25-5100-P-USDT,3977.87,1180.54778748,38.4,0.0,-0.85392805,0.00026892,2.81888273,-2.79230935,0.6922,2025-10-24 12:32:41.934109
ETH-28NOV25-4200-C-USDT,3977.81,239.52140508,735.4,13.5,0.43772621,0.00047563,4.84969058,-4.67293912,0.6733,2025-10-24 12:32:42.291901
ETH-28NOV25-8500-C-USDT,3977.81,1.16070092,718.4,4.0,0.00377418,1.045e-05,0.1383976,-0.17320064,0.8745,2025-10-24 12:32:42.642689
ETH-28NOV25-2000-P-USDT,3977.81,4.4456377,5372.2,10.0,-0.00952346,2.043e-05,0.31429637,-0.45702681,1.0161,2025-10-24 12:32:43.001519
