symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-14NOV25-194-P-USDT,193.92831118,15.70994366,0.0,0.0,-0.46031846,0.01008832,0.18506249,-0.37027344,0.8441,2025-10-24 08:46:06.845850
SOL-14NOV25-218-P-USDT,193.92201214,31.54686988,0.0,0.0,-0.67948796,0.00897465,0.16682646,-0.33823377,0.8554,2025-10-24 08:46:07.173800
SOL-14NOV25-186-P-USDT,193.92201214,11.75047475,1.0,1.0,-0.37951899,0.00964785,0.17743032,-0.35592498,0.8463,2025-10-24 08:46:07.499365
SOL-14NOV25-194-C-USDT,193.92201214,15.63502278,0.0,0.0,0.53961844,0.0100887,0.18505935,-0.37027144,0.8441,2025-10-24 08:46:08.130051
SOL-14NOV25-198-P-USDT,193.93131416,17.95595121,0.0,0.0,-0.50033232,0.01013625,0.18598599,-0.37219875,0.8443,2025-10-24 08:46:08.454507
SOL-14NOV25-184-P-USDT,193.93131416,10.86977608,0.0,0.0,-0.35945444,0.00946548,0.17432152,-0.35014781,0.8474,2025-10-24 08:46:08.783396
SOL-14NOV25-196-P-USDT,193.93131416,16.81053624,0.0,0.0,-0.48039707,0.01012629,0.18576148,-0.37166611,0.8441,2025-10-24 08:46:09.119531
SOL-14NOV25-140-C-USDT,193.92667807,55.16713654,0.0,0.0,0.93995375,0.00271888,0.05556706,-0.12386785,0.9404,2025-10-24 08:46:09.443780
SOL-14NOV25-176-C-USDT,193.92667807,25.74049884,0.0,0.0,0.71734511,0.00849052,0.1576458,-0.31925942,0.8544,2025-10-24 08:46:09.777730
SOL-14NOV25-178-P-USDT,193.92667807,8.51160875,1.0,1.0,-0.3012739,0.00876842,0.16239999,-0.32806818,0.8523,2025-10-24 08:46:10.136520
SOL-14NOV25-280-P-USDT,193.91829561,87.22598125,0.0,0.0,-0.93489649,0.00289812,0.05918019,-0.13182198,0.9397,2025-10-24 08:46:10.495755
SOL-14NOV25-190-C-USDT,193.91829561,17.56137824,0.0,0.0,0.5800636,0.0099264,0.18221561,-0.36486354,0.8448,2025-10-24 08:46:10.821292
SOL-14NOV25-220-P-USDT,193.90868791,33.09680635,0.0,0.0,-0.69475264,0.00876915,0.16334695,-0.33190634,0.8572,2025-10-24 08:46:11.147507
SOL-14NOV25-240-C-USDT,193.90868791,3.73738845,1.0,1.0,0.18362828,0.00647328,0.12385248,-0.25851161,0.8806,2025-10-24 08:46:11.777756
SOL-14NOV25-178-C-USDT,193.90868791,24.42589198,0.0,0.0,0.69856695,0.0087712,0.16242345,-0.32812023,0.8523,2025-10-24 08:46:12.109213
SOL-14NOV25-160-P-USDT,193.9167693,3.68306807,12.0,12.0,-0.15541484,0.00581102,0.11127694,-0.23244347,0.8813,2025-10-24 08:46:12.442042
SOL-14NOV25-182-P-USDT,193.9167693,10.04337514,0.0,0.0,-0.3398535,0.00925948,0.17077855,-0.34358898,0.8488,2025-10-24 08:46:12.769867
SOL-14NOV25-160-C-USDT,193.9167693,37.59983737,0.0,0.0,0.84458516,0.00581102,0.11127694,-0.23244347,0.8813,2025-10-24 08:46:13.113997
SOL-14NOV25-192-P-USDT,193.92276294,14.65448538,1.0,1.0,-0.44015505,0.01002187,0.18388115,-0.36800894,0.8443,2025-10-24 08:46:13.448779
SOL-14NOV25-260-P-USDT,193.92276294,68.11167052,0.0,0.0,-0.89111727,0.00440459,0.08701742,-0.18751651,0.9091,2025-10-24 08:46:13.776512
